B_LU_BRP,B_LU_NAME,B_REGION,B_LU,B_LU_WATERSTRESS_OBIC,B_LU_CROPROTATIONINTENSITY_OBIC,B_LU_EOM,B_LU_EOM_RESIDUE,B_LU_HC,B_LU_CULTCAT4,B_LU_CROPROTATION,B_LU_CRUMBLEABILITY_OBIC,B_LU_PCLASS_OBIC,B_LU_SEALINGCLASS,B_LU_NEVALCLASS_OBIC,B_LU_KEVALCLASS_OBIC,B_LU_MEASURE_OBIC,B_LU_BOTANICAL,B_LU_SEASON,B_LU_MAKKINK,B_LU_BBWP,B_LU_ARABLE_ER,B_LU_PRODUCTIVE_ER,B_LU_CULTIVATED_ER,B_LU_ROOTBALL_DIAMETER,B_LU_PLANT_DENSITY
172,tuinbouwzaden,nl,nl_172,overig,overig,,,0.32,akkerbouw,other,16,arable,overig,akkerbouw,mais,akkerbouw,"",overig,overig,groenten,TRUE,TRUE,TRUE,0,0
174,bloemzaden open grond,nl,nl_174,overig boomteelt,overig,,,0.81,akkerbouw,other,14,arable,overig,akkerbouw,mais,boomteelt,"","tulpen, narcis, hyacint",overig,bollensierteelt,TRUE,TRUE,TRUE,0,0
175,bloemkwekerijgewassen (inclusief bloemzaden),nl,nl_175,overig boomteelt,overig,,,0.81,akkerbouw,other,14,arable,overig,akkerbouw,mais,boomteelt,"","tulpen, narcis, hyacint",overig,bollensierteelt,TRUE,TRUE,TRUE,0,0
176,bloembollen en - knollen,nl,nl_176,bloembollen,overig,,,0.24,akkerbouw,other,10,arable,overig,akkerbouw,mais,groenteteelt,"","tulpen, narcis, hyacint",bloembollen,bollensierteelt,TRUE,TRUE,TRUE,0,0
212,fruit,nl,nl_212,groot fruit,overig,,,0.81,akkerbouw,other,12,arable,overig,akkerbouw,mais,boomteelt,"",groot fruit,fruit,boomfruitteelt,TRUE,TRUE,TRUE,30,1250
229,boomkwekerij en vaste planten,nl,nl_229,overig boomteelt,overig,1175,0,0.81,akkerbouw,other,13,arable,overig,akkerbouw,mais,boomteelt,"",overige boomteelt,jong bos,boomfruitteelt,TRUE,TRUE,TRUE,20,10000
233,"tarwe, winter-",nl,nl_233,granen,rust,1640,990,0.31,akkerbouw,cereal,2,arable,overig,akkerbouw,mais,akkerbouw,triticum aestivum,wintertarwe,wintertarwe,rustgewas,TRUE,TRUE,TRUE,0,0
234,"tarwe, zomer-",nl,nl_234,granen,rust,1630,960,0.31,akkerbouw,cereal,2,arable,overig,akkerbouw,mais,akkerbouw,triticum aestivum,zomergerst,graan,rustgewas,TRUE,TRUE,TRUE,0,0
235,"gerst, winter-",nl,nl_235,granen,rust,1570,780,0.31,akkerbouw,cereal,2,arable,overig,akkerbouw,mais,akkerbouw,horderum vulgare,wintertarwe,wintertarwe,rustgewas,TRUE,TRUE,TRUE,0,0
236,"gerst, zomer-",nl,nl_236,granen,rust,1310,0,0.31,akkerbouw,cereal,2,arable,overig,akkerbouw,mais,akkerbouw,horderum vulgare,zomergerst,graan,rustgewas,TRUE,TRUE,TRUE,0,0
237,rogge (geen snijrogge),nl,nl_237,granen,rust,1500,1020,0.31,akkerbouw,other,2,arable,overig,akkerbouw,mais,akkerbouw,secale cereale,zomergerst,graan,rustgewas,TRUE,TRUE,TRUE,0,0
238,haver,nl,nl_238,granen,rust,1570,900,0.31,akkerbouw,cereal,2,arable,overig,akkerbouw,mais,akkerbouw,avena sativa,zomergerst,graan,rustgewas,TRUE,TRUE,TRUE,0,0
239,"erwten, groene, droog te oogsten (geen conserven)",nl,nl_239,zomergroenten,overig,170,830,0.32,akkerbouw,other,7,arable,overig,akkerbouw,mais,groenteteelt,pisum sativum,"erwten, bonen",tuinbonen,eiwitgewas,TRUE,TRUE,TRUE,0,0
240,schokkers,nl,nl_240,overig,overig,,,0.24,akkerbouw,other,7,arable,overig,akkerbouw,mais,akkerbouw,pisum sativum,"erwten, bonen",tuinbonen,groenten,TRUE,TRUE,TRUE,0,0
241,kapucijners (en grauwe erwten),nl,nl_241,zomergroenten,overig,,,0.32,akkerbouw,other,7,arable,overig,akkerbouw,mais,groenteteelt,pisum sativum,"erwten, bonen",tuinbonen,eiwitgewas,TRUE,TRUE,TRUE,0,0
242,"bonen, bruine-",nl,nl_242,zomergroenten,overig,650,0,0.24,akkerbouw,other,7,arable,overig,akkerbouw,mais,groenteteelt,phaseolus vulgaris,"erwten, bonen",tuinbonen,eiwitgewas,TRUE,TRUE,TRUE,0,0
243,"bonen, veld-(oa duive-, paarde-, wierbonen)(droog te oogsten",nl,nl_243,zomergroenten,overig,650,0,0.24,akkerbouw,other,7,arable,overig,akkerbouw,mais,groenteteelt,phaseolus vulgaris,"erwten, bonen",tuinbonen,eiwitgewas,TRUE,TRUE,TRUE,0,0
244,"erwten, groene/gele (groen te oogsten)",nl,nl_244,zomergroenten,overig,170,830,0.32,akkerbouw,other,7,arable,overig,akkerbouw,mais,groenteteelt,pisum sativum,"erwten, bonen",tuinbonen,eiwitgewas,TRUE,TRUE,TRUE,0,0
246,karwijzaad (oogst dit jaar),nl,nl_246,overig,overig,,,0.35,akkerbouw,other,7,arable,overig,akkerbouw,mais,akkerbouw,carum carvi,overig,overig,rustgewas,TRUE,TRUE,TRUE,0,0
247,blauwmaanzaad,nl,nl_247,overig,overig,750,0,0.32,akkerbouw,other,16,arable,overig,akkerbouw,mais,akkerbouw,papaver somniferum,overig,overig,rustgewas,TRUE,TRUE,TRUE,0,0
249,"vlas, vezel- (niet voor zaaizaad)",nl,nl_249,overig,overig,100,0,0.33,akkerbouw,other,16,arable,overig,akkerbouw,mais,akkerbouw,linum usitatissimum,overig,graan,rustgewas,TRUE,TRUE,TRUE,0,0
256,"bieten, suiker-",nl,nl_256,suikerbiet,rooivrucht,375,900,0.24,akkerbouw,sugarbeet,6,arable,overig,akkerbouw,mais,akkerbouw,beta vulgaris,suikerbieten,bol en knolgewassen,rooivrucht,TRUE,TRUE,TRUE,0,0
257,"bieten, voeder-",nl,nl_257,suikerbiet,rooivrucht,375,900,0.24,akkerbouw,sugarbeet,6,arable,overig,akkerbouw,mais,akkerbouw,beta vulgaris,suikerbieten,bol en knolgewassen,rooivrucht,TRUE,TRUE,TRUE,0,0
258,luzerne,nl,nl_258,overig,rust,1350,0,0.33,akkerbouw,alfalfa,16,arable,overig,akkerbouw,mais,akkerbouw,medicago sativa,overig,overig,eiwitgewas,TRUE,TRUE,TRUE,0,0
