B_LU,B_SOILTYPE_AGR,B_REGION_PV,D_N_NORM
nl_1000,maasklei,PV20,170
nl_1000,maasklei,PV21,170
nl_1000,maasklei,PV22,170
nl_1000,maasklei,PV23,170
nl_1000,maasklei,PV24,170
nl_1000,maasklei,PV25,170
nl_1000,maasklei,PV26,170
nl_1000,maasklei,PV27,170
nl_1000,maasklei,PV28,170
nl_1000,maasklei,PV29,170
nl_1000,maasklei,PV30,170
nl_1000,maasklei,PV31,170
nl_1000,rivierklei,PV20,170
nl_1000,rivierklei,PV21,170
nl_1000,rivierklei,PV22,170
nl_1000,rivierklei,PV23,170
nl_1000,rivierklei,PV24,170
nl_1000,rivierklei,PV25,170
nl_1000,rivierklei,PV26,170
nl_1000,rivierklei,PV27,170
nl_1000,rivierklei,PV28,170
nl_1000,rivierklei,PV29,170
nl_1000,rivierklei,PV30,170
nl_1000,rivierklei,PV31,170
nl_1000,zeeklei,PV20,170
nl_1000,zeeklei,PV21,170
nl_1000,zeeklei,PV22,170
nl_1000,zeeklei,PV23,170
nl_1000,zeeklei,PV24,170
nl_1000,zeeklei,PV25,170
nl_1000,zeeklei,PV26,170
nl_1000,zeeklei,PV27,170
nl_1000,zeeklei,PV28,170
nl_1000,zeeklei,PV29,170
nl_1000,zeeklei,PV30,170
nl_1000,zeeklei,PV31,170
nl_1001,maasklei,PV20,175
nl_1001,maasklei,PV21,175
nl_1001,maasklei,PV22,175
nl_1001,maasklei,PV23,175
nl_1001,maasklei,PV24,175
nl_1001,maasklei,PV25,175
nl_1001,maasklei,PV26,175
nl_1001,maasklei,PV27,175
nl_1001,maasklei,PV28,175
nl_1001,maasklei,PV29,175
nl_1001,maasklei,PV30,175
nl_1001,maasklei,PV31,175
nl_1001,rivierklei,PV20,175
nl_1001,rivierklei,PV21,175
nl_1001,rivierklei,PV22,175
nl_1001,rivierklei,PV23,175
nl_1001,rivierklei,PV24,175
nl_1001,rivierklei,PV25,175
nl_1001,rivierklei,PV26,175
nl_1001,rivierklei,PV27,175
nl_1001,rivierklei,PV28,175
nl_1001,rivierklei,PV29,175
nl_1001,rivierklei,PV30,175
nl_1001,rivierklei,PV31,175
nl_1001,zeeklei,PV20,175
nl_1001,zeeklei,PV21,175
nl_1001,zeeklei,PV22,175
nl_1001,zeeklei,PV23,175
nl_1001,zeeklei,PV24,175
nl_1001,zeeklei,PV25,175
nl_1001,zeeklei,PV26,175
nl_1001,zeeklei,PV27,175
nl_1001,zeeklei,PV28,175
nl_1001,zeeklei,PV29,175
nl_1001,zeeklei,PV30,175
nl_1001,zeeklei,PV31,175
nl_1002,maasklei,PV20,155
nl_1002,maasklei,PV21,155
nl_1002,maasklei,PV22,155
nl_1002,maasklei,PV23,155
nl_1002,maasklei,PV24,155
nl_1002,maasklei,PV25,155
nl_1002,maasklei,PV26,155
nl_1002,maasklei,PV27,155
nl_1002,maasklei,PV28,155
nl_1002,maasklei,PV29,155
nl_1002,maasklei,PV30,155
nl_1002,maasklei,PV31,155
nl_1002,rivierklei,PV20,155
nl_1002,rivierklei,PV21,155
nl_1002,rivierklei,PV22,155
nl_1002,rivierklei,PV23,155
nl_1002,rivierklei,PV24,155
nl_1002,rivierklei,PV25,155
nl_1002,rivierklei,PV26,155
nl_1002,rivierklei,PV27,155
nl_1002,rivierklei,PV28,155
nl_1002,rivierklei,PV29,155
nl_1002,rivierklei,PV30,155
nl_1002,rivierklei,PV31,155
nl_1002,zeeklei,PV20,155
nl_1002,zeeklei,PV21,155
