gewas,bodem,ghg,glg,B_GT,nf,leaching_to_set
akkerbouw,klei,10,50,GtI,0.02,gw
akkerbouw,veen,10,50,GtI,0.02,gw
akkerbouw,zand,10,50,GtI,0.02,gw
gras,klei,10,50,GtI,0.01,gw
gras,veen,10,50,GtI,0.01,gw
gras,zand,10,50,GtI,0.01,gw
mais,klei,10,50,GtI,0.03,gw
mais,veen,10,50,GtI,0.03,gw
mais,zand,10,50,GtI,0.03,gw
akkerbouw,klei,20,65,GtII,0.03,gw
akkerbouw,veen,20,65,GtII,0.03,gw
akkerbouw,zand,20,65,GtII,0.1,gw
gras,klei,20,65,GtII,0.03,gw
gras,veen,20,65,GtII,0.03,gw
gras,zand,20,65,GtII,0.2,gw
mais,klei,20,65,GtII,0.04,gw
mais,veen,20,65,GtII,0.04,gw
mais,zand,20,65,GtII,0.11,gw
akkerbouw,klei,32.5,65,GtIIb,0.05,gw
akkerbouw,veen,32.5,65,GtIIb,0.05,gw
akkerbouw,zand,32.5,65,GtIIb,0.15,gw
gras,klei,32.5,65,GtIIb,0.04,gw
gras,veen,32.5,65,GtIIb,0.04,gw
gras,zand,32.5,65,GtIIb,0.12,gw
mais,klei,32.5,65,GtIIb,0.06,gw
mais,veen,32.5,65,GtIIb,0.06,gw
mais,zand,32.5,65,GtIIb,0.17,gw
akkerbouw,klei,20,100,GtIII,0.08,gw
akkerbouw,veen,20,100,GtIII,0.19,gw
akkerbouw,zand,20,100,GtIII,0.24,gw
gras,klei,20,100,GtIII,0.06,gw
gras,veen,20,100,GtIII,0.03,gw
gras,zand,20,100,GtIII,0.31,gw
mais,klei,20,100,GtIII,0.09,gw
mais,veen,20,100,GtIII,0.14,gw
mais,zand,20,100,GtIII,0.47,gw
akkerbouw,klei,32.5,100,GtIIIb,0.1,gw
akkerbouw,veen,32.5,100,GtIIIb,0.19,gw
akkerbouw,zand,32.5,100,GtIIIb,0.58,gw
gras,klei,32.5,100,GtIIIb,0.08,gw
gras,veen,32.5,100,GtIIIb,0.09,gw
gras,zand,32.5,100,GtIIIb,0.37,gw
mais,klei,32.5,100,GtIIIb,0.11,gw
mais,veen,32.5,100,GtIIIb,0.11,gw
mais,zand,32.5,100,GtIIIb,0.44,gw
akkerbouw,klei,60,100,GtIV,0.18,gw
akkerbouw,veen,60,100,GtIV,0.18,gw
akkerbouw,zand,60,100,GtIV,0.35,gw
gras,klei,60,100,GtIV,0.14,gw
gras,veen,60,100,GtIV,0.12,gw
gras,zand,60,100,GtIV,0.82,gw
mais,klei,60,100,GtIV,0.2,gw
mais,veen,60,100,GtIV,0.17,gw
mais,zand,60,100,GtIV,0.65,gw
akkerbouw,klei,20,120,GtV,0.13,gw
akkerbouw,veen,20,120,GtV,0.08,gw
akkerbouw,zand,20,120,GtV,0.39,gw
gras,klei,20,120,GtV,0.09,gw
gras,veen,20,120,GtV,0.1,gw
gras,zand,20,120,GtV,0.22,gw
mais,klei,20,120,GtV,0.14,gw
mais,veen,20,120,GtV,0.15,gw
mais,zand,20,120,GtV,0.43,gw
akkerbouw,klei,32.5,120,GtVb,0.28,gw
akkerbouw,veen,32.5,120,GtVb,0.16,gw
akkerbouw,zand,32.5,120,GtVb,0.49,gw
gras,klei,32.5,120,GtVb,0.09,gw
gras,veen,32.5,120,GtVb,0.12,gw
gras,zand,32.5,120,GtVb,0.32,gw
mais,klei,32.5,120,GtVb,0.05,gw
mais,veen,32.5,120,GtVb,0.18,gw
mais,zand,32.5,120,GtVb,0.43,gw
akkerbouw,klei,60,120,GtVI,0.3,gw
akkerbouw,veen,60,120,GtVI,0.14,gw
akkerbouw,zand,60,120,GtVI,0.49,gw
gras,klei,60,120,GtVI,0.16,gw
gras,veen,60,120,GtVI,0.18,gw
gras,zand,60,120,GtVI,0.62,gw
mais,klei,60,120,GtVI,0.17,gw
mais,veen,60,120,GtVI,0.18,gw
mais,zand,60,120,GtVI,0.92,gw
akkerbouw,klei,80,140,GtVII,0.45,gw
akkerbouw,veen,80,140,GtVII,0.35,gw
akkerbouw,zand,80,140,GtVII,0.58,gw
gras,klei,80,140,GtVII,0.22,gw
gras,veen,80,140,GtVII,0.26,gw
gras,zand,80,140,GtVII,0.88,gw
mais,klei,80,140,GtVII,0.41,gw
mais,veen,80,140,GtVII,0.38,gw
mais,zand,80,140,GtVII,1.17,gw
akkerbouw,klei,140,180,GtVIII,0.33,gw
akkerbouw,veen,140,180,GtVIII,0.3,gw
akkerbouw,zand,140,180,GtVIII,0.57,gw
gras,klei,140,180,GtVIII,0.22,gw
gras,veen,140,180,GtVIII,0.23,gw
gras,zand,140,180,GtVIII,0.86,gw
mais,klei,140,180,GtVIII,0.37,gw
mais,veen,140,180,GtVIII,0.33,gw
mais,zand,140,180,GtVIII,1.14,gw
akkerbouw,klei,10,50,GtI,0.05,ow
