"","landuse","req_days_pre_glg","req_days_post_glg","total_days","derving"
"1","naaldbos",170,75,245,"boomteelt"
"2","loofbos",170,75,245,"boomteelt"
"3","groot fruit",170,75,245,"boomteelt"
"4","klein fruit",170,75,245,"boomteelt"
"5","aardappelen",155,35,190,"plant groenten"
"6","pootaardappelen",150,0,150,"plant groenten"
"7","fabrieksaardappelen",155,65,220,"plant groenten"
"8","suikerbieten",155,75,230,"zaai groenten"
"9","wintertarwe",165,10,175,"wintergranen"
"10","zomergerst",165,0,170,"zomergranen"
"11","snijmais",130,35,165,"zomergranen"
"12","laanbomen_onderstammen",170,75,245,"boomteelt"
"13","overige boomteelt",170,55,225,"boomteelt"
"14","graszaad",170,15,185,"zomergranen"
"15","asperge",170,75,245,"boomteelt"
"16","schorseneren",170,75,245,"zaai groenten"
"17","prei, spruiten, koolsoorten",100,125,225,"plant groenten"
"18","erwten, bonen",135,-15,130,"zaai groenten"
"19","witlof, selderij, uien",75,65,140,"plant groenten"
"20","was bospeen",100,25,125,"zaai groenten"
"21","tulpen, narcis, hyacint",180,140,320,"zaai groenten"
"22","dahlia",100,140,320,"boomteelt"
"23","bladgroenten",100,75,175,"plant groenten"
"24","beweid bemaaid gras",180,75,255,"grasland"
"25","plantsoenen",180,75,255,"overig"
"26","gazons",100,75,210,"overig"
"27","kampeerterreinen, ligweiden",100,45,145,"overig"
"28","sportvelden",100,75,255,"overig"
"29","overig",1,1,2,"overig"
